iter	Passed	Remaining
900	136443	166428
901	136606	166290
902	136770	166154
903	136936	166019
904	137102	165886
905	137269	165753
906	137433	165617
907	137605	165489
908	137770	165355
909	137948	165235
910	138129	165118
911	138301	164991
912	138470	164860
913	138640	164730
914	138865	164665
915	139032	164531
916	139204	164404
917	139371	164270
918	139531	164127
919	139706	164002
920	139863	163857
921	140019	163710
922	140200	163592
923	140388	163482
924	140547	163338
925	140716	163206
926	140880	163068
927	141038	162923
928	141197	162779
929	141354	162634
930	141511	162487
931	141675	162348
932	141833	162204
933	142002	162071
934	142168	161934
935	142332	161796
936	142496	161657
937	142652	161510
938	142811	161366
939	142959	161209
940	143089	161032
941	143227	160865
942	143358	160688
943	143489	160513
944	143608	160324
945	143727	160136
946	143847	159948
947	143972	159767
948	144093	159580
949	144217	159397
950	144344	159218
951	144471	159039
952	144595	158858
953	144715	158671
954	144833	158483
955	144967	158311
956	145094	158133
957	145233	157967
958	145382	157813
959	145517	157643
960	145647	157468
961	145788	157305
962	145929	157143
963	146054	156963
964	146174	156778
965	146293	156591
966	146413	156406
967	146533	156221
968	146650	156034
969	146769	155847
970	146887	155661
971	147005	155474
972	147125	155291
973	147251	155113
974	147376	154934
975	147499	154753
976	147639	154590
977	147763	154411
978	147884	154228
979	148009	154050
980	148131	153869
981	148249	153684
982	148367	153499
983	148489	153318
984	148609	153135
985	148731	152955
986	148848	152769
987	148967	152585
988	149084	152400
989	149199	152213
990	149315	152027
991	149438	151849
992	149558	151667
993	149677	151484
994	149792	151298
995	149911	151115
996	150034	150936
997	150159	150761
998	150280	150581
999	150402	150402
1000	150524	150223
1001	150642	150041
1002	150762	149860
1003	150885	149682
1004	151006	149503
1005	151120	149317
1006	151241	149139
1007	151360	148958
1008	151480	148777
1009	151599	148597
1010	151716	148415
1011	151834	148233
1012	151954	148054
1013	152077	147877
1014	152201	147702
1015	152324	147526
1016	152445	147348
1017	152566	147171
1018	152715	147020
1019	152857	146863
1020	152996	146702
1021	153139	146546
1022	153272	146380
1023	153405	146214
1024	153547	146056
1025	153682	145893
1026	153817	145729
1027	153966	145578
1028	154103	145416
1029	154229	145245
1030	154363	145080
1031	154490	144909
1032	154609	144731
1033	154732	144556
1034	154852	144379
1035	154974	144203
1036	155097	144030
1037	155209	143845
1038	155328	143667
1039	155449	143491
1040	155572	143318
1041	155692	143141
1042	155819	142971
1043	155940	142796
1044	156061	142621
1045	156197	142459
1046	156395	142354
1047	156520	142182
1048	156643	142009
1049	156762	141832
1050	156886	141660
1051	157010	141488
1052	157134	141316
1053	157253	141140
1054	157371	140962
1055	157494	140790
1056	157612	140613
1057	157737	140443
1058	157859	140269
1059	157980	140095
1060	158098	139919
1061	158224	139749
1062	158345	139576
1063	158466	139402
1064	158586	139228
1065	158707	139055
1066	158829	138882
1067	158949	138708
1068	159071	138536
1069	159194	138364
1070	159315	138192
1071	159435	138018
1072	159556	137845
1073	159675	137671
1074	159796	137499
1075	159925	137334
1076	160049	137164
1077	160179	136999
1078	160303	136830
1079	160426	136660
1080	160546	136486
1081	160673	136319
1082	160814	136165
1083	160949	136004
1084	161074	135837
1085	161192	135662
1086	161316	135494
1087	161446	135329
1088	161568	135159
1089	161696	134994
1090	161817	134823
1091	161942	134655
1092	162064	134485
1093	162191	134319
1094	162313	134149
1095	162431	133976
1096	162551	133805
1097	162673	133634
1098	162790	133461
1099	162910	133290
1100	163032	133121
1101	163155	132952
1102	163278	132784
1103	163400	132614
1104	163519	132443
1105	163642	132275
1106	163760	132102
1107	163883	131935
1108	164011	131771
1109	164135	131603
1110	164262	131439
1111	164392	131277
1112	164519	131112
1113	164643	130946
1114	164760	130774
1115	164880	130604
1116	165039	130465
1117	165169	130303
1118	165292	130136
1119	165412	129966
1120	165533	129798
1121	165651	129627
1122	165769	129456
1123	165892	129289
1124	166051	129151
1125	166221	129020
1126	166349	128858
1127	166478	128695
1128	166600	128528
1129	166739	128374
1130	166867	128212
1131	166991	128046
1132	167116	127881
1133	167240	127716
1134	167382	127564
1135	167507	127399
1136	167630	127233
1137	167751	127066
1138	167881	126906
1139	168003	126739
1140	168121	126570
1141	168244	126404
1142	168366	126238
1143	168484	126068
1144	168603	125900
1145	168725	125734
1146	168856	125575
1147	168984	125413
1148	169102	125244
1149	169224	125079
1150	169344	124911
1151	169465	124745
1152	169590	124582
1153	169719	124421
1154	169841	124256
1155	169963	124091
1156	170082	123923
1157	170206	123760
1158	170328	123594
1159	170457	123434
1160	170581	123271
1161	170705	123107
1162	170829	122944
1163	170956	122783
1164	171078	122618
1165	171204	122456
1166	171332	122296
1167	171458	122134
1168	171583	121972
1169	171708	121810
1170	171834	121648
1171	171960	121487
1172	172079	121321
1173	172200	121156
1174	172322	120992
1175	172449	120831
1176	172570	120667
1177	172695	120505
1178	172816	120341
1179	172941	120179
1180	173073	120022
1181	173206	119867
1182	173335	119708
1183	173456	119544
1184	173572	119377
1185	173692	119212
1186	173815	119049
1187	173932	118882
1188	174054	118720
1189	174178	118558
1190	174303	118397
1191	174429	118237
1192	174558	118079
1193	174686	117920
1194	174814	117762
